iter	Accuracy	Logloss
0	0.822671156	0.6716811797
1	0.822671156	0.6528668187
2	0.8260381594	0.6345425612
3	0.8249158249	0.6175804199
4	0.8260381594	0.5993520574
5	0.8282828283	0.5860185598
6	0.8338945006	0.5718762094
7	0.8406285073	0.5600298168
8	0.8361391695	0.5501021858
9	0.8383838384	0.5386154542
10	0.835016835	0.5296128925
11	0.835016835	0.5198985397
12	0.8372615039	0.510844139
13	0.8395061728	0.5020308923
14	0.8361391695	0.4958710866
15	0.8372615039	0.4893037634
16	0.8338945006	0.4815960256
17	0.835016835	0.4748582759
18	0.8361391695	0.467947107
19	0.8372615039	0.4608167652
20	0.8372615039	0.4541060372
21	0.8383838384	0.4487070669
22	0.8383838384	0.443626399
23	0.8395061728	0.439013321
24	0.8406285073	0.4346527974
25	0.8395061728	0.4305684847
26	0.8428731762	0.4262413551
27	0.8406285073	0.4226382989
28	0.8406285073	0.4191606272
29	0.8428731762	0.415710243
30	0.8417508418	0.4127422964
31	0.8462401796	0.4096670079
32	0.8451178451	0.4065262352
33	0.8484848485	0.4037588908
34	0.8462401796	0.401228712
35	0.8518518519	0.398310149
36	0.8529741863	0.395556105
37	0.8529741863	0.393592441
38	0.8529741863	0.3915371167
39	0.8518518519	0.3896552854
40	0.8518518519	0.3879015747
41	0.8540965208	0.3855586964
42	0.8540965208	0.3836609701
43	0.8552188552	0.3820920653
44	0.8552188552	0.3799280248
45	0.8563411897	0.3780274265
46	0.8574635241	0.3759768224
47	0.8563411897	0.3742233786
48	0.8585858586	0.3724399391
49	0.859708193	0.3710208737
50	0.861952862	0.3691677524
51	0.861952862	0.3676783535
52	0.861952862	0.3661464059
53	0.8630751964	0.36509272
54	0.8641975309	0.3639867169
55	0.8653198653	0.3626679132
56	0.8675645342	0.3612267376
57	0.8664421998	0.3599795579
58	0.8675645342	0.3583714329
59	0.8664421998	0.3570752928
60	0.8709315376	0.3560119306
61	0.8720538721	0.3548784983
62	0.8731762065	0.3540321698
63	0.8731762065	0.3531412157
64	0.8731762065	0.3524148898
65	0.8731762065	0.3514287798
66	0.8731762065	0.350829503
67	0.8731762065	0.3494493461
68	0.8731762065	0.3488718333
69	0.8754208754	0.3482418804
70	0.874298541	0.3473823824
71	0.874298541	0.3464708639
72	0.874298541	0.3456115451
73	0.8731762065	0.3445161423
74	0.8765432099	0.3436159236
75	0.8776655443	0.3427621834
76	0.8776655443	0.341838768
77	0.8787878788	0.3405138183
78	0.8776655443	0.3395505786
79	0.8799102132	0.338756725
80	0.8799102132	0.3380269785
81	0.8799102132	0.3369805399
82	0.8799102132	0.3363020295
83	0.8810325477	0.3351343975
84	0.8810325477	0.3345684962
85	0.8821548822	0.3340585589
86	0.8821548822	0.3325898284
87	0.8821548822	0.3318902603
88	0.8843995511	0.330284121
89	0.8843995511	0.3297480031
90	0.88664422	0.3288100288
91	0.88664422	0.3284020688
92	0.88664422	0.3277442594
93	0.8877665544	0.3268431318
94	0.8877665544	0.3263457688
95	0.8877665544	0.3254190532
96	0.88664422	0.3247568485
97	0.88664422	0.323805562
98	0.8855218855	0.3228241366
99	0.8855218855	0.3218152488
100	0.8855218855	0.3210976624
101	0.8843995511	0.3202771103
102	0.8855218855	0.3195624085
103	0.8855218855	0.3189460301
104	0.8855218855	0.3177925725
105	0.88664422	0.3170069882
106	0.8877665544	0.3163797077
107	0.88664422	0.3154590959
108	0.88664422	0.3148061027
109	0.8877665544	0.3142669332
110	0.8911335578	0.313437993
111	0.8922558923	0.3130399524
112	0.8911335578	0.3127515538
113	0.8922558923	0.312066455
114	0.8922558923	0.3118344251
115	0.8922558923	0.3108442446
116	0.8945005612	0.3101555554
117	0.8956228956	0.3098298027
118	0.8945005612	0.3091286631
119	0.8956228956	0.3079244383
120	0.8956228956	0.3074074286
121	0.8956228956	0.3071458336
122	0.8967452301	0.3061592187
123	0.8967452301	0.3055593051
