iter	Passed	Remaining
0	2	918
1	6	1327
2	9	1374
3	13	1444
4	17	1466
5	18	1310
6	22	1348
7	26	1372
8	30	1404
9	34	1412
10	35	1340
11	39	1347
12	41	1301
13	45	1323
14	48	1325
15	52	1328
16	54	1285
17	57	1297
18	62	1314
19	66	1323
20	70	1342
21	74	1344
22	77	1343
23	81	1348
24	85	1349
25	88	1345
26	92	1349
27	96	1348
28	99	1349
29	103	1348
30	107	1346
31	110	1342
32	113	1339
33	117	1336
34	121	1336
35	124	1333
36	128	1332
37	132	1331
38	135	1331
39	139	1329
40	143	1326
41	147	1327
42	150	1325
43	153	1313
44	156	1311
45	160	1309
46	164	1306
47	167	1303
48	171	1300
49	174	1297
50	179	1301
51	183	1299
52	186	1296
53	189	1290
54	193	1289
55	197	1285
56	200	1282
57	204	1279
58	207	1276
59	211	1273
60	215	1270
61	218	1267
62	222	1263
63	225	1259
64	229	1257
65	233	1253
66	236	1250
67	240	1248
68	244	1245
69	247	1241
70	250	1237
71	254	1233
72	257	1229
73	262	1229
74	265	1226
75	269	1223
76	273	1220
77	276	1217
78	280	1213
79	283	1209
80	287	1205
81	290	1201
82	294	1199
83	298	1198
84	302	1195
85	305	1191
86	309	1188
87	313	1184
88	316	1182
89	320	1177
90	323	1174
91	327	1170
92	330	1166
93	334	1163
94	337	1158
95	340	1151
96	344	1150
97	349	1151
98	352	1146
99	356	1144
100	360	1142
101	363	1138
102	367	1134
103	370	1130
104	374	1127
105	378	1123
106	381	1120
107	385	1116
108	388	1112
109	390	1104
110	394	1102
111	398	1099
112	402	1096
113	406	1093
114	408	1085
115	411	1083
116	415	1079
117	419	1077
118	423	1074
119	427	1071
120	430	1067
121	433	1061
122	437	1058
123	440	1055
124	444	1052
125	447	1048
126	449	1041
127	453	1039
128	457	1036
129	461	1033
130	465	1029
131	468	1026
132	473	1024
133	477	1021
134	479	1015
135	483	1012
136	487	1009
137	491	1007
138	495	1004
139	497	999
140	499	992
141	503	989
142	507	985
143	511	983
144	515	981
145	519	978
146	523	975
147	527	972
148	531	970
149	535	967
150	538	963
151	542	960
152	546	957
153	550	954
154	554	950
155	557	947
156	559	940
157	563	937
158	567	934
159	571	931
160	575	928
161	578	925
162	582	922
163	587	919
164	590	916
165	594	913
166	598	910
167	602	907
168	607	905
169	610	901
170	614	898
171	618	895
172	622	891
173	625	887
174	629	884
175	631	879
176	636	877
177	640	873
178	643	870
179	648	867
180	651	864
181	655	860
182	659	857
183	663	854
184	667	850
185	670	847
186	674	843
187	678	840
188	682	837
189	685	833
190	689	830
191	693	826
192	696	823
193	700	819
194	704	815
195	708	812
196	712	809
197	715	806
198	719	802
199	722	798
200	726	795
201	730	792
202	734	788
203	738	786
204	743	783
205	747	780
206	751	776
207	755	773
208	758	769
209	762	766
210	766	762
211	769	759
212	773	755
213	777	752
214	781	748
215	784	744
216	788	741
217	791	737
218	795	733
219	799	730
220	803	726
221	806	723
222	810	719
